product_id	product_name	descriptions
4900	Philips Hue White and Color Ambiance	Smart light bulb with 16 million colors and voice control.
5000	Ring Video Doorbell 3	Smart doorbell with 1080p HD video, motion detection, and two-way talk.
5100	Nest Learning Thermostat	Smart thermostat with auto-schedule and energy-saving features.
5200	TP-Link Kasa Smart Plug	Wi-Fi smart plug with voice control and energy monitoring.
5300	August Smart Lock Pro	Smart lock with remote access, auto-lock, and compatibility with Alexa and Google Assistant.
5400	Arlo Pro 3	Wireless security camera with 2K HDR video, color night vision, and 160-degree field of view.
5500	First Alert Smoke and CO Detector	Smart smoke and carbon monoxide detector with voice alerts and mobile notifications.
5600	Sonos One	Smart speaker with voice control and rich, room-filling sound.
5700	Lenovo Smart Clock	Smart clock with Google Assistant and 4-inch touchscreen display.
5800	Ray-Ban Stories	Smart glasses with built-in cameras and audio.
5900	GoPro HERO9 Black	Action camera with 5K video, 20MP photos, and HyperSmooth 3.0 stabilization.
6000	Garmin Dash Cam Mini	Compact dash camera with 1080p HD video and voice control.
6100	Motorola MBP36XL	Video baby monitor with 5-inch screen, remote pan, tilt, and zoom.
6200	Furbo Dog Camera	Pet camera with treat tossing, 1080p HD video, and two-way audio.
6300	Tile Pro	High-performance Bluetooth tracker with a 400-foot range and replaceable battery.
6400	Anker PowerDrive 2	Dual USB car charger with PowerIQ technology for fast charging.
6500	iOttie Easy One Touch 4	Car mount with one-touch locking mechanism and adjustable viewing angles.
6600	Pioneer AVH-2500NEX	In-dash car stereo with 7-inch touchscreen, Apple CarPlay, and Android Auto.
6700	Seagate Backup Plus Portable	External hard drive with 2TB storage and USB 3.0 connectivity.
6800	SanDisk Extreme Pro SDXC	High-performance memory card with 128GB storage and up to 170MB/s read speed.
6900	Kingston DataTraveler 100 G3	USB flash drive with 64GB storage and USB 3.0 interface.
7000	TP-Link Archer AX6000	High-speed Wi-Fi 6 router with 8-stream connectivity and advanced security features.
7100	Netgear Nighthawk X6S	Tri-band Wi-Fi router with 4x4 MU-MIMO and 3.2Gbps speed.
7200	Epson EcoTank ET-4760	All-in-one printer with cartridge-free printing and up to 2 years of ink included.
7300	Brother HL-L2350DW	Compact monochrome laser printer with wireless printing and duplex capability.
7400	Canon CanoScan LiDE400	High-resolution flatbed scanner with 4800 dpi and USB-C connectivity.
7500	Logitech C920s Pro HD Webcam	Full HD webcam with 1080p video and built-in privacy shutter.
